,pgc,filter,inc_m,model4_0,model4_1,model4_2,model4_3,model5_0,model5_1,model5_2,model5_3,model6_0,model6_1,model6_2,model6_3
0,23995,b'c',72,70.28222,73.02544,71.71511,72.0501,69.134346,69.466835,69.08506,69.405624,72.01545,71.09847,68.5576,72.43074
1,3630345,b'c',70,69.479706,73.09889,70.31273,73.054726,70.44595,69.978424,69.53705,70.40369,69.864105,68.792694,67.288155,67.411026
2,87316,b'c',74,66.83668,69.85914,71.002365,65.97162,72.901886,69.31252,70.46817,69.58962,72.68367,71.43035,70.69686,68.71278
3,23071,b'r',90,89.55495,89.30301,89.84681,89.18825,89.92648,89.2571,89.59768,89.35334,89.84518,89.39734,89.92839,89.84003
4,71590,b'c',69,67.27414,67.73721,69.11136,71.46513,66.32411,64.42169,62.961105,72.364075,71.227295,69.76562,67.39047,68.79268
5,1860810,b'g',65,65.1797,67.8595,65.2425,65.50964,64.95018,65.9794,66.49421,60.12509,64.99948,68.16458,59.528625,62.26857
6,20830,b'g',85,84.76813,86.42673,87.04074,85.85331,84.05357,85.839615,85.59574,85.00176,85.10856,86.93498,84.020775,85.98364
7,5807603,b'c',84,77.57561,79.28737,77.96127,80.669876,78.43742,77.573746,77.29698,76.82063,78.6058,78.40384,77.81267,78.10272
8,3360050,b'c',90,88.935104,88.76318,87.51344,89.044975,89.64194,89.07448,88.84195,89.82352,88.489334,88.25015,89.148026,88.94345
9,1505873,b'i',81,80.75037,84.981995,81.99959,84.22385,81.98944,81.86777,82.17987,81.83684,82.7917,85.00667,81.201,83.949234
10,3252,b'i',67,54.048782,54.699493,58.778355,51.70391,58.328545,57.45517,56.542427,60.511257,56.68757,56.227463,59.831406,51.380684
11,37566,b'i',87,83.98825,82.64448,83.610596,81.49547,82.502495,82.92208,81.69916,81.85077,82.58925,82.00406,81.19467,83.95154
12,5807871,b'c',75,70.62013,72.720184,69.64074,73.10202,77.39534,74.75653,73.380615,74.33909,74.53821,77.49724,69.22837,73.44197
13,64121,b'i',84,83.86181,84.76542,85.290955,84.16846,84.70871,85.25765,84.915306,83.919525,83.17246,86.58134,85.32865,86.445595
14,5643,b'c',89,86.388245,87.14181,87.47778,87.39476,87.73598,87.29266,87.05696,87.67745,89.09282,87.56312,89.148026,88.494995
15,5807689,b'c',82,84.0719,83.81972,84.763725,85.29082,83.97037,84.050705,82.24583,81.21358,86.547455,83.98436,83.55231,84.080124
16,2943,b'g',75,71.09587,72.6234,70.72553,65.020805,74.80999,67.876755,70.82918,72.703316,71.17721,74.53236,71.20959,70.25998
17,45728,b'c',58,56.18032,55.699974,58.85757,61.40895,56.329346,55.496464,55.20569,58.22558,58.517227,52.914658,56.543125,54.23622
18,66669,b'g',81,81.27978,78.35861,81.17818,79.59391,81.8445,80.630844,79.259125,79.959595,80.68783,79.25369,78.760704,79.21811
19,6380,b'i',63,62.02056,61.92148,63.922977,65.103775,65.83974,67.601974,65.625854,63.720116,64.05726,66.021904,64.52621,65.56702
20,71567,b'c',47,48.222073,49.572735,49.259754,47.461067,48.520927,48.850098,49.531975,48.78512,48.39846,49.26686,47.76475,48.16665
21,51638,b'c',82,84.37053,86.0446,85.69983,87.39821,81.22739,82.100525,81.489624,81.48714,85.656105,87.39959,87.7513,85.186295
22,1166530,b'c',84,86.65798,85.95461,86.82309,85.46711,85.581314,84.96494,85.202225,83.93593,85.90954,84.651726,86.366554,84.8307
23,27552,b'c',66,66.510864,63.469757,67.48291,63.27837,66.8009,64.305824,62.480766,66.841896,62.36969,62.44471,68.98322,64.651535
24,51230,b'i',54,47.949364,50.883446,50.483025,50.457935,50.849094,51.009903,48.806396,50.99761,55.13765,52.900894,50.12714,49.878643
25,32754,b'g',66,62.382217,65.88138,68.28841,64.04042,69.55009,67.83763,67.56831,71.73743,67.409615,66.77568,68.12007,66.46743
26,58906,b'r',88,88.19945,85.17287,84.16606,83.76051,86.925095,86.567505,86.01805,86.47873,83.48012,84.78927,86.903,84.52585
27,1624523,b'g',73,76.82073,72.73566,76.00099,74.02164,76.65258,76.08661,74.615326,75.67539,73.9398,74.358444,76.7143,75.142395
28,8164,b'i',76,76.13766,79.521866,78.3497,72.45007,75.541435,79.01651,75.972145,78.523865,79.91867,76.23052,80.72215,79.98654
29,24499,b'i',71,67.01576,67.9622,72.55892,68.104996,71.27814,68.66661,70.00151,70.13514,69.673836,66.28833,68.11389,68.43738
