id, pgcID, dPA, zoom , filter
1, 41812, 0.00000, 1.00000 , 
2, 43186, 0.00000, 1.00000 , 
3, 3575, 0.00000, 1.00000 , 
4, 41934, 1.00000, 1.88167 , gri
5, 32007, 6.00000, 1.37177 , gri
6, 43321, 10.00000, 1.69351 , gri
7, 23420, 0.00000, 2.58117 , gri
8, 30308, 3.00000, 1.23457 , gri
9, 36706, 2.00000, 2.32305 , gri
10, 36243, -6.00000, 2.58117 , gri
11, 3238, -4.00000, 1.69354 , g
12, 36875, 7.00000, 3.18665 , gri
13, 62836, 10.00000, 0.90000 , gri
14, 65375, 2.00000, 1.69351 , gri
15, 69453, -351.00000, 1.23456 , gri
16, 42510, -173.00000, 1.00002 , gri
17, 35711, -7.00000, 3.54069 , gri
18, 42833, -182.00000, 2.32306 , gri
19, 41608, -1.00000, 2.32307 , gri
20, 35676, 6.00000, 1.69351 , gri
21, 3108, 1.00000, 1.88169 , gri
22, 35622, 3.00000, 3.18664 , gri
23, 5061, 2.00000, 2.09077 , gri
24, 40705, 0.00000, 2.86802 , gri
25, 11255, 1.00000, 2.86799 , gri
26, 47368, 6.00000, 2.09074 , gri
27, 37617, -179.00000, 1.23458 , gri
28, 38392, 5.00000, 2.58119 , gri
29, 40692, -1.00000, 1.88166 , gri
30, 42857, 0.00000, 2.32307 , gri
31, 72233, -2.00000, 2.86797 , gri
32, 38643, 3.00000, 3.54074 , gri
33, 45170, 0.00000, 0.90001 , gri
34, 46153, 1.00000, 1.11112 , gri
35, 44182, 4.00000, 1.11111 , gri
36, 40507, -4.00000, 2.86798 , gri
37, 21396, -6.00000, 1.88170 , g
38, 41472, 5.00000, 2.32307 , gri
39, 72411, -4.00000, 2.58117 , gri
40, 41517, -179.00000, 1.88171 , gri
41, 42089, 4.00000, 1.23459 , gri
42, 35978, -175.00000, 2.32304 , gri
43, 71866, 7.00000, 1.23460 , gri
44, 21033, 18.00000, 2.09075 , g
45, 28120, 4.00000, 2.58119 , gri
46, 13602, 6.00000, 1.37174 , gri
47, 34554, 5.00000, 0.90000 , gri
48, 43254, -2.00000, 1.37176 , g
49, 48307, -176.00000, 1.11111 , gri
50, 5619, -1.00000, 1.23456 , gri
51, 26512, 1.00000, 1.37174 , gri
52, 41061, 1.00000, 1.52419 , g
53, 31090, -1.00000, 1.52416 , g
54, 71047, -177.00000, 1.69352 , gri
55, 3222, 2.00000, 2.09076 , gri
56, 54177, 9.00000, 1.88169 , gri
57, 69253, 9.00000, 1.23457 , gri
58, 46427, -2.00000, 1.88168 , gri
59, 38346, 2.00000, 1.00000 , gri
60, 33705, 4.00000, 1.52416 , gri
61, 4802, 0.00000, 2.58117 , gri
62, 37719, 3.00000, 1.52416 , r
63, 3184, -6.00000, 2.32307 , gri
64, 14236, 7.00000, 1.11114 , gri
65, 5344, 2.00000, 2.09076 , gri
66, 3606, 2.00000, 2.32307 , gri
67, 3903, 1.00000, 2.32303 , gri
68, 3456, -1.00000, 2.09076 , gri
69, 33385, 188.00000, 1.23459 , gri
70, 70304, 1.00000, 1.69351 , g
71, 44416, 1.00000, 2.86800 , gri
72, 30197, 4.00000, 1.69351 , gri
73, 23662, 0.00000, 2.86797 , gri
74, 37700, 0.00000, 2.32306 , gri
75, 41823, -1.00000, 1.37176 , gri
76, 60921, -5.00000, 2.32306 , g
77, 35347, 1.00000, 2.09077 , gri
78, 38370, 5.00000, 1.69351 , gri
79, 23374, 1.00000, 2.58119 , gri
80, 72438, 0.00000, 1.88169 , gri
81, 4596, 0.00000, 2.86799 , gri
82, 39028, 4.00000, 1.23457 , gri
83, 5284, 0.00000, 2.09076 , gri
84, 44921, 0.00000, 2.32307 , gri
85, 37466, 1.00000, 1.88169 , gri
86, 1851, 0.00000, 0.90002 , gri
87, 10943, 0.00000, 2.32308 , g
88, 39285, 2.00000, 2.86798 , gri
89, 5702, 0.00000, 1.52415 , r
90, 40095, 1.00000, 2.09076 , gri
91, 38283, 1.00000, 2.32307 , gri
92, 37036, 1.00000, 1.88166 , gri
93, 3664, -1.00000, 2.32306 , gri
94, 43601, 1.00000, 2.09079 , gri
95, 28186, 0.00000, 1.88167 , gri
96, 31131, 3.00000, 1.88169 , g
97, 40105, 0.00000, 2.09075 , gri
98, 31677, 0.00000, 1.69352 , gri
99, 31154, 0.00000, 1.11112 , g
100, 40581, 1.00000, 1.23460 , gri
101, 2789, -1.00000, 1.88173 , g
102, 31995, 1.00000, 1.69351 , g
103, 36699, 1.00000, 1.88168 , gri
104, 36343, 1.00000, 1.69351 , gri
105, 39241, 0.00000, 1.69356 , gri
106, 23567, 3.00000, 1.52420 , gri
107, 70803, 1.00000, 2.09080 , gri
108, 71880, 0.00000, 2.09076 , gri
109, 3866, 0.00000, 2.86800 , gri
110, 4563, 0.00000, 1.88173 , gri
111, 71155, 0.00000, 2.86799 , gri
112, 4988, 0.00000, 1.52416 , g
113, 43142, 0.00000, 2.58118 , gri
114, 31086, 1.00000, 2.32306 , g
115, 37691, 0.00000, 2.09075 , gri
116, 37697, -1.00000, 1.88168 , gri
117, 2865, 0.00000, 1.52416 , gri
118, 38988, 0.00000, 1.52417 , g
119, 40201, 0.00000, 0.72901 , g
120, 38795, 0.00000, 1.69352 , gri
121, 36431, 0.00000, 1.88168 , gri
122, 39422, -1.00000, 0.90001 , gri
123, 53958, -184.00000, 2.32306 , gri
124, 71751, -80.00000, 2.58119 , gri
125, 8360, -1.00000, 1.88168 , gri
126, 139334, 3.00000, 2.58118 , gri
127, 3832, -173.00000, 2.09075 , gri
128, 36477, 4.00000, 2.32307 , gri
129, 51210, 6.00000, 2.09076 , gri
130, 3440, 1.00000, 2.58119 , gri
131, 35721, 181.00000, 2.86798 , gri
132, 41982, -362.00000, 2.58118 , gri
133, 72387, 19.00000, 1.69351 , g
134, 830, -179.00000, 1.88169 , gri
135, 4056, 181.00000, 2.58118 , gri
136, 36328, -182.00000, 3.54073 , gri
137, 51973, -175.00000, 1.69351 , gri
138, 52328, 5.00000, 2.86797 , gri
139, 1531099, -3.00000, 3.18663 , gri
140, 619, -167.00000, 2.09076 , gri
141, 690, 8.00000, 2.32306 , gri
142, 1844, -527.00000, 2.32306 , gri
143, 3636, 4.00000, 2.32306 , gri
144, 4774, -174.00000, 2.58119 , gri
145, 5321, 7.00000, 2.09076 , gri
146, 13940, -171.00000, 3.54070 , gri
147, 32778, -179.00000, 2.58118 , gri
148, 49555, -182.00000, 1.52416 , gri
149, 51900, 9.00000, 2.58118 , gri
150, 51953, -2.00000, 2.32306 , gri
151, 54018, -3.00000, 2.32305 , gri
152, 58390, 5.00000, 1.88168 , gri
153, 68085, -51.00000, 1.69351 , gri
154, 743, 4.00000, 2.58118 , gri
155, 4672, -2.00000, 2.58118 , gri
156, 7547, -178.00000, 2.32305 , gri
157, 39224, -176.00000, 2.32307 , gri
158, 59681, -716.00000, 2.58119 , gri
159, 65054, -177.00000, 2.32306 , gri
160, 60003, -186.00000, 2.09077 , gri
161, 69402, -179.00000, 3.18664 , gri
162, 70035, -182.00000, 2.58118 , gri
163, 27437, 3.00000, 2.58118 , gri
164, 42215, 1.00000, 2.32306 , gri
165, 53817, -540.00000, 2.32307 , gri
166, 613, 4.00000, 2.86797 , gri
167, 1886, -175.00000, 2.32306 , gri
168, 43728, -176.00000, 2.09075 , gri
169, 45582, 1.00000, 2.86797 , gri
170, 51932, -174.00000, 2.32307 , gri
171, 70337, 6.00000, 2.58119 , gri
172, 170345, -2.00000, 2.58118 , gri
173, 1248, -358.00000, 2.86797 , gri
174, 1516, 5.00000, 2.86798 , gri
175, 2934, -175.00000, 3.18663 , gri
176, 4473, -1.00000, 2.09075 , gri
177, 27518, 4.00000, 2.32306 , gri
178, 28026, 3.00000, 2.32305 , gri
179, 28357, 2.00000, 2.32307 , gri
180, 41317, 3.00000, 2.58117 , gri
181, 54386, 3.00000, 2.09075 , gri
182, 57037, -185.00000, 2.86797 , gri
183, 67584, 4.00000, 2.86798 , gri
184, 25376, 2.00000, 2.32306 , gri
185, 38374, -174.00000, 2.58118 , gri
186, 55725, 183.00000, 1.88169 , g
187, 44125, -355.00000, 2.86798 , gri
188, 53560, 4.00000, 2.86797 , gri
189, 11813, -174.00000, 2.58118 , gri
190, 44507, 181.00000, 2.86797 , gri
191, 50784, -721.00000, 3.54071 , gri
192, 69172, 2.00000, 2.58118 , gri
193, 902, -178.00000, 1.88169 , gri
194, 4258, 6.00000, 2.09076 , gri
195, 6380, 1.00000, 2.58119 , gri
196, 38784, 3.00000, 2.32306 , gri
197, 6377, 0.00000, 2.09076 , gri
198, 27666, 1.00000, 2.86798 , gri
199, 31428, -178.00000, 2.09076 , gri
200, 41531, -180.00000, 2.58119 , gri
201, 6235, 2.00000, 2.58118 , gri
202, 31122, 3.00000, 2.32306 , gri
203, 39040, -357.00000, 3.18662 , gri
204, 70213, 2.00000, 1.88167 , gri
205, 1276, 0.00000, 2.58118 , gri
206, 38244, 2.00000, 2.32304 , gri
207, 1669474, 4.00000, 2.58118 , gri
208, 10669, -359.00000, 2.58117 , gri
209, 55776, -176.00000, 2.32308 , gri
210, 312, 4.00000, 2.58119 , gri
211, 1288, 1.00000, 2.09079 , gri
212, 2023, 0.00000, 2.86798 , gri
213, 6675, 1.00000, 2.09075 , gri
214, 32754, 1.00000, 2.09075 , gri
215, 57110, -179.00000, 2.86798 , gri
216, 35088, 3.00000, 1.88171 , gri
217, 53462, 3.00000, 2.09079 , gri
218, 1713, 5.00000, 2.32306 , gri
219, 5916, -181.00000, 2.32306 , gri
220, 23214, 1.00000, 2.86797 , gri
221, 29034, 1.00000, 2.09076 , gri
222, 55724, 1.00000, 2.58118 , gri
223, 155, 3.00000, 2.09075 , gri
224, 329, 3.00000, 2.86798 , gri
225, 2094, 3.00000, 2.58117 , gri
226, 6687, 2.00000, 2.58118 , gri
227, 36350, 4.00000, 2.32307 , gri
228, 36939, 2.00000, 2.32306 , gri
229, 37140, -2.00000, 3.54071 , gri
230, 54400, -1.00000, 2.32306 , gri
231, 64373, 0.00000, 2.58117 , gri
232, 3607726, 0.00000, 2.58117 , gri
233, 1748, 0.00000, 2.32306 , gri
234, 2194, 3.00000, 3.18664 , gri
235, 2899, 3.00000, 2.32305 , gri
236, 4920, 1.00000, 3.18664 , gri
237, 5794, 0.00000, 2.32306 , gri
238, 6169, 0.00000, 2.58117 , gri
239, 6546, 3.00000, 2.58118 , gri
240, 6982, -1.00000, 2.32306 , gri
241, 10290, 1.00000, 2.86798 , gri
242, 10448, 0.00000, 2.32305 , gri
243, 11617, 0.00000, 2.32307 , gri
244, 24893, -179.00000, 2.58117 , gri
245, 26781, 1.00000, 1.88168 , gri
246, 32648, 1.00000, 2.58118 , gri
247, 35440, -176.00000, 2.09076 , gri
248, 36660, 0.00000, 2.32306 , gri
249, 44452, 1.00000, 2.58118 , gri
250, 50031, 0.00000, 1.88168 , gri
251, 55800, 3.00000, 2.58118 , gri
252, 55990, -175.00000, 2.86797 , gri
253, 67339, -177.00000, 3.18663 , gri
254, 70812, 3.00000, 2.58117 , gri
255, 1809186, 1.00000, 2.86798 , gri
256, 3072, -1.00000, 3.54069 , gri
257, 5656, -1.00000, 2.09075 , gri
258, 5897, 0.00000, 2.32305 , gri
259, 6228, 2.00000, 2.58118 , gri
260, 24152, 3.00000, 2.09076 , gri
261, 27232, -177.00000, 2.09075 , gri
262, 49993, 0.00000, 2.58122 , gri
263, 52315, 1.00000, 2.32307 , gri
264, 55222, 1.00000, 2.58118 , gri
265, 56537, 0.00000, 1.88168 , gri
266, 67499, 1.00000, 1.88168 , gri
267, 72001, -2.00000, 2.32307 , gri
268, 1645554, 3.00000, 2.32306 , r
269, 924, 0.00000, 2.32306 , gri
270, 1431, 4.00000, 3.18664 , gri
271, 4588, 1.00000, 2.32306 , gri
272, 5032, 1.00000, 3.18664 , gri
273, 5716, 5.00000, 2.86796 , gri
274, 33964, 1.00000, 2.09074 , gri
275, 44725, -1.00000, 2.09076 , gri
276, 53332, 1.00000, 2.09079 , gri
277, 54690, 3.00000, 3.18663 , gri
278, 1011, 0.00000, 2.09075 , gri
279, 2614, 2.00000, 2.58118 , gri
280, 3701, 1.00000, 2.32306 , gri
281, 11767, -181.00000, 2.86798 , gri
282, 12705, 5.00000, 2.86798 , gri
283, 23465, 2.00000, 1.52416 , g
284, 55533, -178.00000, 2.58116 , gri
285, 56997, -358.00000, 2.32304 , gri
286, 70220, -4.00000, 2.32306 , gri
287, 1461, 2.00000, 2.32305 , gri
288, 3781, -1.00000, 2.58118 , gri
289, 5270, 0.00000, 2.86800 , gri
290, 23289, 0.00000, 2.86797 , gri
291, 34612, 2.00000, 1.11111 , gri
292, 36683, -1.00000, 2.86797 , gri
293, 37483, 5.00000, 2.86798 , gri
294, 41170, 1.00000, 3.18664 , gri
295, 58161, 0.00000, 1.88168 , i
296, 71262, -5.00000, 2.86798 , gri
297, 431, 3.00000, 2.86797 , gri
298, 859, 0.00000, 1.88167 , gri
299, 3062, 2.00000, 2.09075 , gri
300, 4192, 0.00000, 2.86798 , gri
301, 5578, 1.00000, 1.88167 , gri
302, 6905, 0.00000, 2.09076 , gri
303, 7544, 2.00000, 1.88168 , gri
304, 28672, 0.00000, 2.58119 , gri
305, 29499, -2.00000, 2.58117 , gri
306, 41789, 1.00000, 1.69351 , gri
307, 42202, 0.00000, 2.58117 , gri
308, 72083, 2.00000, 1.69351 , gri
309, 170155, 1.00000, 2.58117 , gri
310, 2134, -1.00000, 1.88168 , gri
311, 4912, -1.00000, 2.58117 , gri
312, 7222, 0.00000, 2.58117 , gri
313, 7574, 2.00000, 2.58117 , gri
314, 11102, 2.00000, 2.86798 , gri
315, 27451, -178.00000, 2.32307 , gri
316, 28795, 0.00000, 2.58124 , gri
317, 59662, 0.00000, 2.58118 , gri
318, 142841, 2.00000, 3.18664 , gri
319, 356, 0.00000, 2.58118 , gri
320, 2621, 181.00000, 2.58122 , gri
321, 4805, 2.00000, 2.86797 , gri
322, 4896, 1.00000, 2.32306 , gri
323, 23646, 0.00000, 2.86798 , gri
324, 33660, 1.00000, 1.52416 , i
325, 53318, -3.00000, 3.18663 , g
326, 55132, 0.00000, 2.32306 , gri
327, 55730, 2.00000, 2.09076 , gri
328, 67831, 1.00000, 2.32306 , gri
329, 68919, 0.00000, 1.88168 , gri
330, 72968, -4.00000, 3.18663 , gri
331, 94039, 1.00000, 2.32305 , gri
332, 200155, 0.00000, 2.58118 , gri
333, 1641818, 0.00000, 2.58118 , gri
334, 7951, -1.00000, 2.09075 , gri
335, 24233, 1.00000, 1.69351 , gri
336, 33234, 0.00000, 2.09076 , gri
337, 42564, 0.00000, 2.32306 , gri
338, 43017, 0.00000, 1.69352 , gri
339, 43352, 0.00000, 2.86797 , gri
340, 49889, 1.00000, 2.32306 , gri
341, 60045, 0.00000, 2.86797 , gri
342, 70025, 1.00000, 2.09075 , gri
343, 71055, 1.00000, 2.58117 , gri
344, 569, -1.00000, 1.88169 , g
345, 2241, -1.00000, 2.32306 , gri
346, 2599, 0.00000, 1.88168 , gri
347, 4018, 0.00000, 2.32305 , gri
348, 4918, 0.00000, 2.32308 , gri
349, 6817, 1.00000, 1.88168 , gri
350, 7420, 2.00000, 1.69351 , gri
351, 22137, 0.00000, 2.32306 , gri
352, 28148, 1.00000, 2.32306 , gri
353, 33930, 0.00000, 2.32306 , gri
354, 35043, 2.00000, 1.88167 , gri
355, 35314, 0.00000, 2.58119 , gri
356, 41572, 0.00000, 2.86798 , gri
357, 42681, 0.00000, 2.32305 , gri
358, 46124, 1.00000, 2.86798 , gri
359, 50581, 0.00000, 2.09075 , gri
360, 51809, 0.00000, 1.69351 , g
361, 54122, 0.00000, 1.88168 , gri
362, 55047, 1.00000, 2.32306 , gri
363, 55435, 0.00000, 2.32306 , gri
364, 55507, 1.00000, 2.86798 , gri
365, 55867, 0.00000, 1.88168 , gri
366, 56617, 0.00000, 2.86797 , gri
367, 59634, 1.00000, 2.58117 , gri
368, 66590, 2.00000, 2.32306 , gri
369, 68742, 0.00000, 2.86797 , gri
370, 69965, 1.00000, 2.32306 , gri
371, 1621, 0.00000, 2.58117 , gri
372, 4619, 0.00000, 2.09079 , gri
373, 6332, 0.00000, 2.58119 , gri
374, 25423, 0.00000, 2.09075 , gri
375, 26101, 0.00000, 2.32310 , gri
376, 30358, 0.00000, 2.58118 , gri
377, 32368, 0.00000, 2.58118 , gri
378, 34030, 0.00000, 1.00000 , gri
379, 34837, 0.00000, 2.32305 , gri
380, 40644, 0.00000, 1.69351 , gri
381, 42919, 1.00000, 2.86798 , gri
382, 51448, -180.00000, 2.32311 , gri
383, 55853, 0.00000, 2.09076 , gri
384, 57185, 0.00000, 1.69352 , g
385, 1923117, 0.00000, 2.32306 , gri
386, 2928, 0.00000, 1.88168 , gri
387, 3207, 1.00000, 2.58118 , gri
388, 3738, 1.00000, 2.32306 , gri
389, 8232, 0.00000, 2.32306 , gri
390, 33642, 0.00000, 2.09075 , gri
391, 34135, 1.00000, 2.58117 , gri
392, 44254, -1.00000, 1.88168 , gri
393, 44600, 0.00000, 1.37174 , gri
394, 49882, 0.00000, 2.09074 , gri
395, 52396, -1.00000, 2.58117 , gri
396, 55161, 2.00000, 2.58117 , gri
397, 55224, 0.00000, 1.88169 , gri
398, 147057, -1.00000, 2.86797 , gri
399, 1960307, 0.00000, 2.32306 , gri
400, 1724, -1.00000, 2.58117 , gri
401, 2820, 1.00000, 2.09075 , gri
402, 5596, 1.00000, 2.32306 , gri
403, 5792, 0.00000, 2.58117 , gri
404, 14853, 1.00000, 2.32306 , gri
405, 26690, 1.00000, 2.32306 , gri
406, 27641, -1.00000, 2.86798 , gri
407, 43052, 0.00000, 2.32306 , gri
408, 51901, 0.00000, 2.09074 , gri
409, 53585, 0.00000, 1.69351 , gri
410, 83427, -3.00000, 2.58119 , gri
411, 10512, 0.00000, 2.32305 , gri
412, 21684, -1.00000, 2.58117 , gri
413, 38356, -1.00000, 2.32308 , gri
414, 42530, -1.00000, 1.52416 , r
415, 53657, -1.00000, 2.32307 , gri
416, 71260, 1.00000, 2.32308 , gri
417, 1724183, 0.00000, 2.58119 , g
418, 3332, 0.00000, 2.58117 , gri
419, 5440, 1.00000, 1.69351 , gri
420, 24784, -1.00000, 2.58117 , gri
421, 40530, 1.00000, 2.09074 , gri
422, 42938, 0.00000, 2.86796 , gri
423, 43452, 0.00000, 2.58116 , gri
424, 44211, 0.00000, 2.86797 , gri
425, 54431, 0.00000, 2.86798 , gri
426, 55517, 0.00000, 1.69351 , gri
427, 67621, 0.00000, 2.86797 , gri
428, 67814, 0.00000, 2.58118 , gri
429, 2021, 1.00000, 3.18664 , gri
430, 4948, 0.00000, 2.58117 , gri
431, 5341, 0.00000, 1.88168 , gri
432, 6074, 0.00000, 2.58118 , gri
433, 6147, -3.00000, 2.32305 , gri
434, 6741, 0.00000, 2.32306 , gri
435, 7842, 0.00000, 2.09075 , gri
436, 8673, 0.00000, 2.32305 , gri
437, 9186, 0.00000, 1.88168 , gri
438, 22640, -1.00000, 2.32305 , gri
439, 23757, 0.00000, 2.09076 , gri
440, 25102, 1.00000, 2.32306 , gri
441, 36930, -1.00000, 2.86798 , r
442, 42950, 0.00000, 2.09075 , gri
443, 54377, 1.00000, 2.32306 , gri
444, 70265, 0.00000, 2.09075 , gri
445, 1374673, 0.00000, 2.58117 , gri
446, 1490942, -1.00000, 2.32306 , gri
447, 1525744, 0.00000, 2.58118 , gri
448, 1836988, 0.00000, 1.88168 , gri
449, 4126688, 0.00000, 2.86797 , gri
450, 1158, 0.00000, 2.58117 , gri
451, 1422, -1.00000, 1.88168 , gri
452, 2458, 0.00000, 2.58117 , gri
453, 3133, 0.00000, 2.58117 , gri
454, 3787, 0.00000, 2.09075 , gri
455, 4206, 0.00000, 2.09075 , gri
456, 5181, 0.00000, 2.32305 , gri
457, 5581, 0.00000, 2.58118 , gri
458, 7088, 0.00000, 2.58117 , gri
459, 7328, 0.00000, 2.58118 , gri
460, 7596, -2.00000, 1.88168 , gri
461, 7812, 3.00000, 2.32306 , gri
462, 8913, -1.00000, 2.09076 , gri
463, 9475, 0.00000, 1.69351 , gri
464, 10319, 0.00000, 2.58117 , gri
465, 10407, 0.00000, 2.32307 , gri
466, 11252, 0.00000, 2.86797 , gri
467, 27371, -1.00000, 3.18664 , gri
468, 28018, 0.00000, 2.09075 , gri
469, 28274, 0.00000, 2.58118 , gri
470, 31302, 0.00000, 2.09075 , gri
471, 32763, 0.00000, 2.58117 , gri
472, 33343, 0.00000, 2.32306 , gri
473, 37418, 0.00000, 2.32305 , gri
474, 40119, 0.00000, 2.09075 , gri
475, 40933, 0.00000, 1.52416 , gri
476, 41958, 0.00000, 2.32306 , gri
477, 43397, 0.00000, 1.88168 , gri
478, 46076, 0.00000, 2.86797 , gri
479, 49411, 0.00000, 2.09075 , gri
480, 49657, 0.00000, 2.32306 , gri
481, 52307, 0.00000, 2.32306 , gri
482, 52344, 0.00000, 2.32306 , gri
483, 52921, 0.00000, 2.09075 , gri
484, 53746, 0.00000, 2.32305 , gri
485, 53764, 0.00000, 2.32306 , gri
486, 55065, 0.00000, 2.09076 , gri
487, 55532, 0.00000, 2.09076 , gri
488, 57261, -1.00000, 2.09075 , gri
489, 68037, -1.00000, 2.09076 , gri
490, 70026, 0.00000, 1.88168 , gri
491, 90485, 0.00000, 2.32306 , gri
492, 91252, -1.00000, 2.86798 , gri
493, 142833, -1.00000, 2.32306 , gri
494, 169662, 0.00000, 2.32306 , gri
495, 1652054, 0.00000, 2.86798 , gri
496, 496, -1.00000, 1.88168 , gri
497, 937, 1.00000, 2.32305 , gri
498, 1970, -1.00000, 2.32305 , gri
499, 2085, 0.00000, 3.54071 , gri
500, 2207, 1.00000, 2.58118 , gri
501, 2231, 0.00000, 2.09075 , gri
502, 2260, 0.00000, 2.09075 , gri
503, 2261, 0.00000, 2.32306 , gri
504, 3120, 0.00000, 2.58117 , gri
505, 3454, 0.00000, 2.86798 , gri
506, 3643, 0.00000, 2.58118 , gri
507, 3855, 0.00000, 2.86797 , gri
508, 5218, 0.00000, 2.58118 , gri
509, 5643, 3.00000, 2.09075 , gri
510, 5934, -2.00000, 3.54071 , gri
511, 5954, 0.00000, 2.86797 , gri
512, 6045, 0.00000, 2.32308 , gri
513, 6193, 1.00000, 2.58118 , gri
514, 7243, 2.00000, 2.09075 , gri
515, 7441, 0.00000, 1.88167 , gri
516, 7478, 0.00000, 2.32306 , gri
517, 8581, 0.00000, 2.58117 , gri
518, 9375, 0.00000, 2.32305 , gri
519, 9510, 0.00000, 2.32306 , gri
520, 9888, 0.00000, 2.32306 , gri
521, 10218, -2.00000, 1.88168 , gri
522, 10673, 1.00000, 2.09075 , gri
523, 10875, 0.00000, 2.86797 , gri
524, 16322, 0.00000, 2.09076 , gri
525, 22611, 0.00000, 1.88168 , gri
526, 23169, -2.00000, 1.88168 , gri
527, 24374, 1.00000, 2.09075 , gri
528, 24530, 0.00000, 3.18664 , gri
529, 26968, 0.00000, 2.32306 , gri
530, 27549, 0.00000, 2.32305 , gri
531, 27558, 0.00000, 3.18664 , gri
532, 27634, 0.00000, 2.32306 , gri
533, 28128, -1.00000, 2.86798 , gri
534, 28741, 0.00000, 2.58117 , gri
535, 29415, 0.00000, 2.58117 , gri
536, 29865, -2.00000, 2.09075 , gri
537, 30604, 0.00000, 2.09075 , gri
538, 30971, 0.00000, 2.86797 , gri
539, 32540, 0.00000, 2.32305 , gri
540, 38163, 2.00000, 2.86797 , gri
541, 39344, 0.00000, 3.93412 , gri
542, 39556, 1.00000, 2.58117 , gri
543, 41599, 0.00000, 2.86797 , gri
544, 41827, 0.00000, 2.09076 , gri
545, 42038, 0.00000, 1.00000 , gri
546, 42045, 0.00000, 2.32306 , gri
547, 42083, 0.00000, 2.86797 , gri
548, 42230, 0.00000, 2.32306 , gri
549, 42726, 0.00000, 2.32306 , gri
550, 42898, 0.00000, 2.32306 , gri
551, 43470, 0.00000, 1.88168 , gri
552, 47947, 0.00000, 2.86798 , gri
553, 50317, 0.00000, 2.32305 , gri
554, 50942, 0.00000, 1.88168 , gri
555, 51909, 1.00000, 2.58117 , gri
556, 53439, 0.00000, 2.58118 , gri
557, 53728, 2.00000, 2.32306 , gri
558, 54385, 0.00000, 2.32306 , gri
559, 54465, 0.00000, 2.86798 , gri
560, 55492, 0.00000, 2.32305 , gri
561, 55706, 1.00000, 2.09075 , gri
562, 64862, -1.00000, 2.09075 , gri
563, 65506, 0.00000, 2.58117 , gri
564, 67506, 0.00000, 1.88168 , gri
565, 83580, 0.00000, 2.86797 , gri
566, 90815, -2.00000, 2.58117 , gri
567, 214939, 0.00000, 2.32306 , gri
568, 1632187, -1.00000, 2.58117 , gri
569, 3647754, 0.00000, 2.58117 , gri
570, 5072365, 0.00000, 2.86798 , gri
571, 70, 0.00000, 2.86797 , gri
572, 658, 0.00000, 2.58117 , gri
573, 1525, 0.00000, 2.58118 , gri
574, 1609, 0.00000, 1.88168 , gri
575, 1797, 0.00000, 2.58117 , gri
576, 1926, -1.00000, 2.32306 , gri
577, 1933, 1.00000, 1.52416 , gri
578, 2747, 0.00000, 2.58117 , gri
579, 3147, 0.00000, 1.88168 , gri
580, 3472, 1.00000, 1.88168 , gri
581, 3569, 0.00000, 1.88167 , gri
582, 4148, 0.00000, 2.86797 , gri
583, 4387, 1.00000, 2.32306 , gri
